[06/12/17 22:44:34] 10 Sec, Wait 
[06/12/17 22:52:37] = LOOP 24
[06/12/17 22:52:38] = LOOP 17
[06/12/17 22:52:40] = LOOP 16
[06/12/17 22:52:41] = LOOP 16
[06/12/17 22:52:42] = LOOP 25
[06/12/17 22:52:43] = LOOP 20
[06/12/17 22:52:44] = LOOP 20
[06/12/17 22:52:45] = LOOP 24
[06/12/17 22:52:46] = LOOP 21
[06/12/17 22:52:47] = LOOP 25
[06/12/17 22:52:48] = LOOP 21
[06/12/17 22:52:49] = LOOP 25
[06/12/17 22:52:50] = LOOP 19
[06/12/17 22:52:51] = LOOP 19
[06/12/17 22:52:52] = LOOP 20
[06/12/17 22:52:54] = LOOP 20
[06/12/17 22:52:55] = LOOP 23
[06/12/17 22:52:56] = LOOP 24
[06/12/17 22:52:57] = LOOP 16
[06/12/17 22:52:58] = LOOP 20
[06/12/17 22:52:59] = LOOP 22
[06/12/17 22:53:00] = LOOP 16
[06/12/17 22:53:01] = LOOP 19
[06/12/17 22:53:02] = LOOP 17
[06/12/17 22:53:03] = LOOP 29
[06/12/17 22:53:04] = LOOP 17
[06/12/17 22:53:05] = LOOP 26
[06/12/17 22:53:06] = LOOP 20
[06/12/17 22:53:07] = LOOP 17
[06/12/17 22:53:08] = LOOP 28
[06/12/17 22:53:09] = LOOP 21
[06/12/17 22:53:10] = LOOP 25
[06/12/17 22:53:11] = LOOP 24
[06/12/17 22:53:12] = LOOP 21
[06/12/17 22:53:13] = LOOP 21
[06/12/17 22:53:14] = LOOP 21
[06/12/17 22:53:15] = LOOP 16
[06/12/17 22:53:16] = LOOP 19
[06/12/17 22:53:17] = LOOP 16
[06/12/17 22:53:18] = LOOP 16
[06/12/17 22:53:19] = LOOP 16
[06/12/17 22:53:20] = LOOP 17
[06/12/17 22:53:21] = LOOP 31
[06/12/17 22:53:22] = LOOP 18
[06/12/17 22:53:23] = LOOP 24
[06/12/17 22:53:24] = LOOP 25
[06/12/17 22:53:25] = LOOP 27
[06/12/17 22:53:26] = LOOP 25
[06/12/17 22:53:27] = LOOP 26
[06/12/17 22:53:28] = LOOP 23
[06/12/17 22:53:29] = LOOP 18
[06/12/17 22:53:30] = LOOP 16
[06/12/17 22:53:31] = LOOP 21
[06/12/17 22:53:32] = LOOP 18
[06/12/17 22:53:33] = LOOP 25
[06/12/17 22:53:34] = LOOP 21
